Date,Location,County,Time,Initials,Scoter present,Flyover?,Heard/Recorded,Comments,
02/04/2020,St Albans AL1,Hertfordshire,22:48,RE,Y,Y,Heard & Recorded,Calling almost continuously b/w 22:45-22.55,
02/04/2020,Crosby,Merseyside,21.02, PK, Y, Y, Heard, 4 sets of calls heard between 21.00-21.30,
02/04/2020,Stalybridge,Gtr Manchester,0:05,RB,Y,Y,Heard,,
02/04/2020,Macclesfield,Cheshire,22:09,JDA,Y,Y,,,
2/4/20,Darley Dale,Derbyshire,0:06,SJR,Y,Y,Rec,,
02/04/20,Penarth,Glamorgan,0:09,GNS,Y,Y,Rec,,
01/04/2020,Moss Side,Greater Manchester,0:10,OM,Y,Y,Rec,,
02/04/2020,Stalybridge,Gtr Manchester,0:15,RB,Y,Y,,,
1/4/20,Hessay,North Yorkshire,0:15,STE,Y,Y,recorded,,
01/04/2020,Wheldrake,Yorkshire,0:18,TDJ,Y,Y,Rec,,
01/04/2020,Scarborough,North Yorkshire,0:18,NWA,Y,Y,Recorded,,
2/4/20,Desborough,Northamptonshire,0:25,LA,Y,Y,Heard,,
1/4/20,Hessay,North Yorkshire,0:25,STE,Y,Y,recorded,,
30/03/2020,Claughton,Lancashire,0:28,JR,Y,Y,,,
01/04/2020,Kilnsea,Yorkshire,0:30,JMS,Y,Y,Rec + Heard,,
02/04/20,Penarth,Glamorgan,0:30,GNS,Y,Y,Rec,no more flocks 00:30-06:45.,
02/04/2020,Dungeness,Kent,0:36,SZP (Samuel Perfect),Y,Y,Rec,,
02/04/2020,Great Massingham,Norfolk,1:00,GSE,Y,Y,Rec,,
01/04/2020,Windsor ,Berkshire ,1:00,JD,Y,Y,Heard + Rec,,
01/04/2020,Kilnsea,Yorkshire,1:10,JMS,Y,Y,Rec + Heard,,
02/04/2020,Wanstead E11,Greater London,1:19,JL,Y,Y,Rec,,
01/04/2020,Scarborough,North Yorkshire,1:22,NWA,Y,Y,Recorded,,
01/04/2020,"Valley Rd, Scarborough",North Yorkshire,1:27,MMc,Y,Y,Heard,,
01/04/2020,Newark,Nottinghamshire ,1:37,NCC,Y,Y,Rec,,
02/04/2020,Cambridge,Cambs,1:41,JJH,N,Y,Recorded,,
26/03/2020,Cambridge,Cambridgeshire,2:15,SG,Y,Y,Rec,,
01/04/2020,"Valley Rd, Scarborough",North Yorkshire,2:25,MMc,Y,Y,Heard,,
01/04/2020,Sudbury,Suffolk,2:25,RSB,Y,Y,Recorded,,
